,Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,LTM
"BV/акцию, руб",En+,,,,,,,,,,,,,,,,,-10.9,179.7,50.0,189.3,112.7,415.8,453.6
"Рентаб EBITDA, %",En+,,,,,,,,,,,,,,,,,0.23600000000000002,0.266,0.266,0.18100000000000002,0.18,0.28300000000000003,0.281
"Чистая рентаб, %",En+,,,,,,,,,,,,,,,,,0.139,0.11599999999999999,0.078,0.073,0.066,0.152,0.135
"Доходность FCF, %",En+,,,,,,,,,,,,,,,,,,0.14300000000000002,0.205,0.253,0.141,0.222,0.201
"ROE, %",En+,,,,,,,,,,,,,,,,,0.69,0.324,0.32899999999999996,0.207,0.212,0.368,0.374
"ROA, %",En+,,,,,,,,,,,,,,,,,0.067,0.064,0.045,0.037000000000000005,0.03,0.08199999999999999,0.095
P/E,En+,,,,,,,,,,,,,,,,,0.0,6.29,4.41,7.41,10.0,3.58,1.54
P/S,En+,,,,,,,,,,,,,,,,,0.0,0.73,0.34,0.54,0.66,0.54,0.21
P/BV,En+,,,,,,,,,,,,,,,,,0.0,4.48,8.38,3.41,6.86,2.13,0.86
EV/EBITDA,En+,,,,,,,,,,,,,,,,,5.29,6.43,5.04,7.59,9.07,4.09,2.49
Долг/EBITDA,En+,,,,,,,,,,,,,,,,,5.29,3.69,3.74,4.59,5.39,2.17,1.74
"R&D/CAPEX, %",En+,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Цена/мощность, руб/кВт",En+,,,,,,,,,,,,,,,,,,,52972.0,53525.0,62583.0,61686.0,
"CAPEX/Выручка, %",En+,,,,,,,,,,,,,,,,,0.09,0.08,0.08,0.09,0.11,0.11,0.09
Дата отчета,Fix Price,,,,,,,,,,,,,,,,,,09.03.2021,09.03.2021,09.03.2021,09.03.2021,28.02.2022,27.10.2022
Валюта отчета,Fix Price,,,,,,,,,,,,,,,,,,RUB,RUB,RUB,RUB,RUB,RUB
"Число магазинов, шт",Fix Price,,,,,,,,,,,,,,,,,,,2941.0,3512.0,4167.0,4904.0,5462.0
"Открыто новых магазинов, шт",Fix Price,,,,,,,,,,,,,,,,,,,,571.0,655.0,737.0,709.0
"Общ. площадь магазинов, тыс. м2",Fix Price,,,,,,,,,,,,,,,,,,,,,890.0,1057.0,1181.0
"Сопоставимые продажи, LFL, %",Fix Price,,,,,,,,,,,,,,,,,,,,0.154,0.158,0.07200000000000001,0.111
"Трафик, %",Fix Price,,,,,,,,,,,,,,,,,,,,0.076,-0.019,0.031,-0.044000000000000004
"Средний чек, %",Fix Price,,,,,,,,,,,,,,,,,,,,0.073,0.17800000000000002,0.04,0.162
"Выручка, млрд руб",Fix Price,,,,,,,,,,,,,,,,,,80.7,108.7,142.9,190.0,230.5,268.4
"Операционная прибыль, млрд руб",Fix Price,,,,,,,,,,,,,,,,,,8.11,12.7,18.5,26.9,32.3,39.7
"EBITDA, млрд руб",Fix Price,,,,,,,,,,,,,,,,,,,14.2,19.8,28.6,34.2,41.8
"Чистая прибыль, млрд руб",Fix Price,,,,,,,,,,,,,,,,,,5.6,9.1,13.2,17.6,21.4,18.6
"Операционный денежный поток, млрд руб",Fix Price,,,,,,,,,,,,,,,,,,10.9,13.6,21.4,30.3,25.3,25.5
"CAPEX, млрд руб",Fix Price,,,,,,,,,,,,,,,,,,1.5,4.2,4.2,6.2,6.3,6.6
"FCF, млрд руб",Fix Price,,,,,,,,,,,,,,,,,,,9.4,10.5,16.7,9.92,9.38
"Див.выплата, млрд руб",Fix Price,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,9.8,
"Дивиденд, руб/акцию",Fix Price,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,11.5,
"Див доход, ао, %",Fix Price,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.021,0.0
"Дивиденды/прибыль, %",Fix Price,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.46,0.0
"Опер. расходы, млрд руб",Fix Price,,,,,,,,,,,,,,,,,,16.1,21.2,27.5,34.6,41.0,48.3
"Себестоимость, млрд руб",Fix Price,,,,,,,,,,,,,,,,,,56.4,74.8,96.9,128.5,157.1,180.3
"Расх на персонал, млрд руб",Fix Price,,,,,,,,,,,,,,,,,,6.7,9.1,13.4,17.3,20.9,26.3
"Процентные расходы, млрд руб",Fix Price,,,,,,,,,,,,,,,,,,0.37,0.24,1.1,1.21,1.91,3.19
"Активы, млрд руб",Fix Price,,,,,,,,,,,,,,,,,,30.2,35.3,53.7,82.1,84.9,94.7
"Чистые активы, млрд руб",Fix Price,,,,,,,,,,,,,,,,,,10.7,13.2,11.5,-3.6,8.0,20.1
"Долг, млрд руб",Fix Price,,,,,,,,,,,,,,,,,,3.5,0.5,5.0,15.7,21.5,20.8
"Наличность, млрд руб",Fix Price,,,,,,,,,,,,,,,,,,6.1,5.88,11.9,26.4,8.78,11.0
"Чистый долг, млрд руб",Fix Price,,,,,,,,,,,,,,,,,,-2.6,-5.38,-6.88,-10.7,12.7,9.75
"Цена акции ао, руб",Fix Price,,,,,,,,,,,,,,,,,,,716.0,716.0,716.0,543.1,350.1
"Число акций ао, млн",Fix Price,,,,,,,,,,,,,,,,,,,850.0,850.0,850.0,850.0,850.0
"Free Float, %",Fix Price,,,,,,,,,,,,,,,,,,,0.0,0.0,0.25,0.27,
"Капитализация, млрд руб",Fix Price,,,,,,,,,,,,,,,,,,0.0,608.6,608.6,608.6,461.6,297.6
"EV, млрд руб",Fix Price,,,,,,,,,,,,,,,,,,-2.6,603.2,601.7,597.9,474.4,307.3
"Баланс стоимость, млрд руб",Fix Price,,,,,,,,,,,,,,,,,,10.7,13.2,10.8,-4.6,6.58,18.4
"EPS, руб",Fix Price,,,,,,,,,,,,,,,,,,,10.7,15.5,20.7,25.2,21.9
"FCF/акцию, руб",Fix Price,,,,,,,,,,,,,,,,,,,11.1,12.3,19.6,11.7,11.0
"BV/акцию, руб",Fix Price,,,,,,,,,,,,,,,,,,,15.6,12.7,-5.41,7.74,21.6
"Рентаб EBITDA, %",Fix Price,,,,,,,,,,,,,,,,,,0.0,0.131,0.139,0.151,0.14800000000000002,0.156
"Чистая рентаб, %",Fix Price,,,,,,,,,,,,,,,,,,0.069,0.084,0.092,0.09300000000000001,0.09300000000000001,0.069
"Доходность FCF, %",Fix Price,,,,,,,,,,,,,,,,,,,0.015,0.017,0.027000000000000003,0.021,0.032
"ROE, %",Fix Price,,,,,,,,,,,,,,,,,,0.521,0.687,1.153,-4.888999999999999,2.674,0.9229999999999999
"ROA, %",Fix Price,,,,,,,,,,,,,,,,,,0.18600000000000003,0.258,0.24600000000000002,0.214,0.252,0.196
P/E,Fix Price,,,,,,,,,,,,,,,,,,0.0,66.9,46.1,34.6,21.6,16.0
P/S,Fix Price,,,,,,,,,,,,,,,,,,0.0,5.6,4.26,3.2,2.0,1.11
P/BV,Fix Price,,,,,,,,,,,,,,,,,,0.0,46.0,56.6,-132.3,70.2,16.2
EV/EBITDA,Fix Price,,,,,,,,,,,,,,,,,,,42.5,30.4,20.9,13.9,7.36
Долг/EBITDA,Fix Price,,,,,,,,,,,,,,,,,,,-0.38,-0.35,-0.37,0.37,0.23
"Персонал, чел",Fix Price,,,,,,,,,,,,,,,,,,,,,31000.0,,
"Производительность труда, млн руб/чел/год",Fix Price,,,,,,,,,,,,,,,,,,,,,6.13,,
"Расходы/чел/год, тыс.р",Fix Price,,,,,,,,,,,,,,,,,,,,,559.0,,
"R&D/CAPEX, %",Fix Price,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"CAPEX/Выручка, %",Fix Price,,,,,,,,,,,,,,,,,,0.02,0.04,0.03,0.03,0.03,0.02
Дата отчета,Globaltrans,,,,,,,,,,,,,,15.09.2021,15.09.2021,15.09.2021,15.09.2021,30.04.2021,01.04.2019,30.03.2020,29.03.2021,28.03.2022,19.09.2022
Валюта отчета,Globaltrans,,,,,,,,,,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB
"Выручка, млрд руб",Globaltrans,,,,,,,,,,,,,,74.3,68.7,68.2,69.5,78.1,86.8,95.0,68.4,73.2,89.5
"Операционная прибыль, млрд руб",Globaltrans,,,,,,,,,,,,,,,,,10.8,20.2,26.9,32.1,18.8,21.6,33.4
"EBITDA, млрд руб",Globaltrans,,,,,,,,,,,,,,20.8,17.6,15.5,17.7,25.8,33.1,39.6,26.8,29.0,45.7
"Чистая прибыль, млрд руб",Globaltrans,,,,,,,,,,,,,,5.83,-1.42,1.98,4.47,12.3,17.7,20.8,10.6,13.0,21.5
"Операционный денежный поток, млрд руб",Globaltrans,,,,,,,,,,,,,,,,,16.1,23.9,26.8,29.4,25.2,27.3,39.2
"CAPEX, млрд руб",Globaltrans,,,,,,,,,,,,,,,,,4.93,4.87,11.6,13.5,6.94,8.44,8.17
"FCF, млрд руб",Globaltrans,,,,,,,,,,,,,,13.6,11.9,9.61,8.88,17.0,12.3,12.8,15.1,16.1,18.3
"Див.выплата, млрд руб",Globaltrans,,,,,,,,,,0.699,1.64,2.98,3.97,3.98,0.0,2.22,,8.0,16.5,16.6,13.3,,
"Дивиденд, руб/акцию",Globaltrans,,,,,,,,,,4.42,10.34,18.86,22.2,22.28,0.0,12.41,39.2,89.65,92.4,93.1,74.55,22.5,
"Див доход, ао, %",Globaltrans,,,,,,,,,,0.015,0.02,0.043,0.044000000000000004,0.043,0.0,0.038,0.10099999999999999,0.166,0.147,0.17,0.16399999999999998,0.035,0.0
"Дивиденды/прибыль, %",Globaltrans,,,,,,,,,,,,,,0.68,0.0,1.12,0.0,0.65,0.93,0.8,1.26,0.0,0.0
"Себестоимость, млрд руб",Globaltrans,,,,,,,,,,,,,,59.9,52.8,54.4,58.7,57.9,60.0,62.9,49.6,51.5,53.5
"Расх на персонал, млрд руб",Globaltrans,,,,,,,,,,,,,,,,,2.95,3.43,4.63,4.48,4.15,5.49,6.77
"Процентные расходы, млрд руб",Globaltrans,,,,,,,,,,,,,,,,,2.27,1.99,1.63,2.02,2.32,2.24,2.25
"Активы, млрд руб",Globaltrans,,,,,,,,,,,,,,,,,78.4,77.4,91.2,99.6,98.3,108.3,100.6
"Чистые активы, млрд руб",Globaltrans,,,,,,,,,,,,,,,,,47.1,44.9,47.6,50.9,46.9,56.5,52.8
"Долг, млрд руб",Globaltrans,,,,,,,,,,,,,,33.2,28.3,20.4,16.3,16.3,25.7,30.1,32.0,31.3,24.7
"Наличность, млрд руб",Globaltrans,,,,,,,,,,,,,,3.4,4.65,4.1,4.77,4.97,7.13,6.52,4.98,12.9,11.9
"Чистый долг, млрд руб",Globaltrans,,,,,,,,,,0.0,0.0,0.0,0.0,29.8,23.7,16.3,11.5,11.4,18.6,23.6,27.0,18.5,12.8
"Цена акции ао, руб",Globaltrans,,,,,,,,,,298.7,519.4,441.5,504.4,522.8,299.1,325.0,389.7,541.4,628.8,547.8,455.2,645.8,275.6
"Число акций ао, млн",Globaltrans,,,,,,,,,,158.1,158.1,158.1,178.7,178.7,178.7,178.7,178.7,178.7,178.7,178.7,178.7,178.7,178.7
"Free Float, %",Globaltrans,,,,,,,,,,,,,,,,,,,,,0.569,,
"Капитализация, млрд руб",Globaltrans,,,,,,,,,,47.2,82.1,69.8,90.2,93.4,53.5,58.1,69.7,96.8,112.4,97.9,81.4,115.4,49.3
"EV, млрд руб",Globaltrans,,,,,,,,,,47.2,82.1,69.8,90.2,123.2,77.1,74.4,81.2,108.1,131.0,121.5,108.4,133.9,62.0
"Баланс стоимость, млрд руб",Globaltrans,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.6,43.4,46.9,50.8,45.4,56.5,52.7
"EPS, руб",Globaltrans,,,,,,,,,,0.0,0.0,0.0,0.0,32.6,-7.92,11.1,25.0,68.8,98.9,116.4,59.2,72.7,120.3
"FCF/акцию, руб",Globaltrans,,,,,,,,,,0.0,0.0,0.0,0.0,76.3,66.6,53.8,49.7,95.4,68.9,71.6,84.5,90.2,102.6
"BV/акцию, руб",Globaltrans,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,243.0,262.2,284.3,253.9,316.1,294.8
"Рентаб EBITDA, %",Globaltrans,,,,,,,,,,,,,,0.281,0.256,0.228,0.254,0.33,0.381,0.41600000000000004,0.392,0.397,0.51
"Чистая рентаб, %",Globaltrans,,,,,,,,,,,,,,0.078,-0.021,0.028999999999999998,0.064,0.157,0.204,0.21899999999999997,0.155,0.17800000000000002,0.24
"Доходность FCF, %",Globaltrans,,,,,,,,,,0.0,0.0,0.0,0.0,0.146,0.223,0.165,0.128,0.17600000000000002,0.11,0.131,0.18600000000000003,0.14,0.37200000000000005
"ROE, %",Globaltrans,,,,,,,,,,,,,,,,,0.095,0.27399999999999997,0.371,0.409,0.226,0.23,0.408
"ROA, %",Globaltrans,,,,,,,,,,,,,,,,,0.057,0.159,0.19399999999999998,0.209,0.10800000000000001,0.12,0.214
P/E,Globaltrans,,,,,,,,,,,,,,16.0,-37.8,29.3,15.6,7.87,6.36,4.71,7.68,8.89,2.29
P/S,Globaltrans,,,,,,,,,,,,,,1.26,0.78,0.85,1.0,1.24,1.3,1.03,1.19,1.58,0.55
P/BV,Globaltrans,,,,,,,,,,,,,,,,,1.53,2.23,2.4,1.93,1.79,2.04,0.93
EV/EBITDA,Globaltrans,,,,,,,,,,,,,,5.91,4.39,4.78,4.59,4.19,3.96,3.07,4.04,4.61,1.36
Долг/EBITDA,Globaltrans,,,,,,,,,,,,,,1.43,1.35,1.05,0.65,0.44,0.56,0.6,1.01,0.64,0.28
"Персонал, чел",Globaltrans,,,,,,,,,,,,,,,,,,,,1640.0,1697.0,,
"Производительность труда, млн руб/чел/год",Globaltrans,,,,,,,,,,,,,,,,,,,,57.9,40.3,,
"Расходы/чел/год, тыс.р",Globaltrans,,,,,,,,,,,,,,,,,,,,2732.0,2445.0,,
"R&D/CAPEX, %",Globaltrans,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CAPEX/Выручка, %",Globaltrans,,,,,,,,,,,,,,0.0,0.0,0.0,0.07,0.06,0.13,0.14,0.1,0.12,0.09
Дата отчета,HeadHunter,,,,,,,,,,,,,,,,,13.03.2020,13.03.2020,13.03.2020,13.03.2020,18.03.2021,04.03.2022,15.11.2022
Валюта отчета,HeadHunter,,,,,,,,,,,,,,,,,RUB,RUB,RUB,RUB,RUB,RUB,RUB
"Выручка, млрд руб",HeadHunter,,,,,,,,,,,,,,,,,3.74,4.73,6.12,7.79,8.28,16.0,17.7
"Операционная прибыль, млрд руб",HeadHunter,,,,,,,,,,,,,,,,,,1.38,2.1,2.81,2.84,6.95,6.53
"EBITDA, млрд руб",HeadHunter,,,,,,,,,,,,,,,,,1.67,2.26,2.86,3.93,4.19,8.65,8.79
"Чистая прибыль, млрд руб",HeadHunter,,,,,,,,,,,,,,,,,0.112,0.897,1.54,2.41,2.68,6.01,5.96
"Чистая прибыль н/с, млрд руб",HeadHunter,,,,,,,,,,,,,,,,,-0.029,0.463,1.03,1.58,1.89,5.4,3.16
"Операционный денежный поток, млрд руб",HeadHunter,,,,,,,,,,,,,,,,,,,2.1,2.61,3.21,8.66,7.16
"CAPEX, млрд руб",HeadHunter,,,,,,,,,,,,,,,,,,,0.254,0.48,0.255,0.265,0.949
"FCF, млрд руб",HeadHunter,,,,,,,,,,,,,,,,,,,1.93,2.15,2.95,8.51,6.98
"Див.выплата, млрд руб",HeadHunter,,,,,,,,,,,,,,,,,,,,1.18,1.82,3.17,3.17
"Дивиденд, руб/акцию",HeadHunter,,,,,,,,,,,,,,,,,,,,23.45,36.13,63.0,63.0
"Див доход, ао, %",HeadHunter,,,,,,,,,,,,,,,,,,,,0.02,0.016,0.016,0.061
"Дивиденды/прибыль, %",HeadHunter,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.49,0.68,0.53,0.53
"Опер. расходы, млрд руб",HeadHunter,,,,,,,,,,,,,,,,,,,3.43,4.3,4.69,7.95,9.99
"Расх на персонал, млрд руб",HeadHunter,,,,,,,,,,,,,,,,,1.25,1.51,1.72,2.23,2.58,4.18,5.54
"Процентные расходы, млрд руб",HeadHunter,,,,,,,,,,,,,,,,,,,0.624,0.582,0.37,0.506,0.746
"Активы, млрд руб",HeadHunter,,,,,,,,,,,,,,,,,,,13.3,13.0,18.2,22.8,20.5
"Чистые активы, млрд руб",HeadHunter,,,,,,,,,,,,,,,,,,,2.97,3.36,3.44,5.84,4.6
"Долг, млрд руб",HeadHunter,,,,,,,,,,,,,,,,,,,6.44,5.13,8.28,8.04,7.48
"Наличность, млрд руб",HeadHunter,,,,,,,,,,,,,,,,,,,2.86,2.09,3.37,6.52,5.34
"Чистый долг, млрд руб",HeadHunter,,,,,,,,,,,,,,,,,0.0,0.0,3.58,3.04,4.91,1.52,2.14
"Цена акции ао, руб",HeadHunter,,,,,,,,,,,,,,,,,,,,1175.0,2298.0,3838.0,1025.0
"Число акций ао, млн",HeadHunter,,,,,,,,,,,,,,,,,,,,50.3,50.3,50.3,50.3
"Free Float, %",HeadHunter,,,,,,,,,,,,,,,,,,,,,0.594,,
"Капитализация, млрд руб",HeadHunter,,,,,,,,,,,,,,,,,0.0,0.0,0.0,59.1,115.6,193.1,51.6
"EV, млрд руб",HeadHunter,,,,,,,,,,,,,,,,,0.0,0.0,3.58,62.2,120.5,194.6,53.7
"Баланс стоимость, млрд руб",HeadHunter,,,,,,,,,,,,,,,,,0.0,0.0,-7.17,-6.33,-9.83,-8.11,-8.03
"EPS, руб",HeadHunter,,,,,,,,,,,,,,,,,,,,47.9,53.3,119.4,118.5
"FCF/акцию, руб",HeadHunter,,,,,,,,,,,,,,,,,,,,42.7,58.6,169.1,138.7
"BV/акцию, руб",HeadHunter,,,,,,,,,,,,,,,,,,,,-125.8,-195.3,-161.2,-159.6
"Рентаб EBITDA, %",HeadHunter,,,,,,,,,,,,,,,,,0.446,0.47600000000000003,0.467,0.505,0.506,0.542,0.49700000000000005
"Чистая рентаб, %",HeadHunter,,,,,,,,,,,,,,,,,0.03,0.19,0.251,0.309,0.324,0.376,0.337
"Доходность FCF, %",HeadHunter,,,,,,,,,,,,,,,,,,,,0.036000000000000004,0.026000000000000002,0.044000000000000004,0.135
"ROE, %",HeadHunter,,,,,,,,,,,,,,,,,,,0.517,0.718,0.779,1.0290000000000001,1.296
"ROA, %",HeadHunter,,,,,,,,,,,,,,,,,,,0.115,0.185,0.147,0.264,0.29100000000000004
P/E,HeadHunter,,,,,,,,,,,,,,,,,0.0,0.0,0.0,24.5,43.1,32.1,8.65
P/S,HeadHunter,,,,,,,,,,,,,,,,,0.0,0.0,0.0,7.59,14.0,12.1,2.92
P/BV,HeadHunter,,,,,,,,,,,,,,,,,,,0.0,-9.34,-11.8,-23.8,-6.42
EV/EBITDA,HeadHunter,,,,,,,,,,,,,,,,,0.0,0.0,1.25,15.8,28.8,22.5,6.11
Долг/EBITDA,HeadHunter,,,,,,,,,,,,,,,,,0.0,0.0,1.25,0.77,1.17,0.18,0.24
"Персонал, чел",HeadHunter,,,,,,,,,,,,,,,,,,,,,832.0,,
"Производительность труда, млн руб/чел/год",HeadHunter,,,,,,,,,,,,,,,,,,,,,9.95,,
"Расходы/чел/год, тыс.р",HeadHunter,,,,,,,,,,,,,,,,,,,,,3101.0,,
"R&D/CAPEX, %",HeadHunter,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
"CAPEX/Выручка, %",HeadHunter,,,,,,,,,,,,,,,,,0.0,0.0,0.04,0.06,0.03,0.02,0.05
Дата отчета,Inarctica (Русская Аквакультура),,,,,,,,,,,,,,09.07.2018,09.07.2018,30.06.2018,12.04.2018,09.07.2018,17.04.2019,10.04.2020,06.04.2021,,03.12.2021
Валюта отчета,Inarctica (Русская Аквакультура),,,,,,,,,,,,,,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB
"Выручка, млрд руб",Inarctica (Русская Аквакультура),,,,,,,,,,,,,,18.0,19.2,0.865,2.48,5.02,3.21,8.8,8.34,,12.8
"EBITDA, млрд руб",Inarctica (Русская Аквакультура),,,,,,,,,,,,,,0.909,0.945,-0.067,1.51,2.06,0.974,3.43,3.38,,4.92
"Чистая прибыль, млрд руб",Inarctica (Русская Аквакультура),,,,,,,,,,,,,,0.453,-0.407,-1.86,0.698,0.376,2.33,3.26,3.12,,8.33
"Чистая прибыль н/с, млрд руб",Inarctica (Русская Аквакультура),,,,,,,,,,,,,,,,-1.34,3.89,,,,,,
"Операционный денежный поток, млрд руб",Inarctica (Русская Аквакультура),,,,,,,,,,,,,,,,,,,,,,,4.88
"CAPEX, млрд руб",Inarctica (Русская Аквакультура),,,,,,,,,,,,,,,,,0.152,0.572,1.27,2.53,1.83,,2.7
"FCF, млрд руб",Inarctica (Русская Аквакультура),,,,,,,,,,,,,,,,,,,,,,,-1.36
"Див.выплата, млрд руб",Inarctica (Русская Аквакультура),,,,,,,,,,,,,,,,,,,,,0.88,0.703,2.64
"Дивиденд, руб/акцию",Inarctica (Русская Аквакультура),,,,,,,,,,,,,,,,,,,,,10.0,8.0,30.0
"Див доход, ао, %",Inarctica (Русская Аквакультура),,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.038,0.013000000000000001,0.05
"Дивиденды/прибыль, %",Inarctica (Русская Аквакультура),,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,,0.32
"Себестоимость, млрд руб",Inarctica (Русская Аквакультура),,,,,,,,,,,,,,16.2,16.4,0.932,1.38,4.13,2.2,6.64,5.0,,8.32
"Расх на персонал, млрд руб",Inarctica (Русская Аквакультура),,,,,,,,,,,,,,,,,0.195,0.446,0.519,0.764,0.76,,
"Процентные расходы, млрд руб",Inarctica (Русская Аквакультура),,,,,,,,,,,,,,,,,0.638,0.236,0.344,0.432,0.361,,0.631
"Активы, млрд руб",Inarctica (Русская Аквакультура),,,,,,,,,,,,,,,,8.46,5.95,5.58,11.0,14.0,19.8,,25.4
"Чистые активы, млрд руб",Inarctica (Русская Аквакультура),,,,,,,,,,,,,,0.224,-0.18,-1.52,2.37,3.51,6.0,9.07,11.7,,15.5
"Долг, млрд руб",Inarctica (Русская Аквакультура),,,,,,,,,,,,,,2.7,5.02,4.8,3.2,1.84,4.3,4.12,6.72,,8.54
"Наличность, млрд руб",Inarctica (Русская Аквакультура),,,,,,,,,,,,,,0.362,0.795,0.458,0.034,1.09,0.103,0.085,0.627,,0.46
"Чистый долг, млрд руб",Inarctica (Русская Аквакультура),,,,,,,,,,,,,,2.34,4.23,4.34,3.17,0.74,4.2,4.04,6.09,0.0,8.08
"Цена акции ао, руб",Inarctica (Русская Аквакультура),,,,,,,,,,,,,,,,,89.9,157.0,139.0,255.5,261.5,600.5,601.5
"Число акций ао, млн",Inarctica (Русская Аквакультура),,,,,,,,,,,,,,79.5,79.5,79.5,79.5,79.5,87.9,87.9,87.9,87.9,87.9
"Free Float, %",Inarctica (Русская Аквакультура),,,,,,,,,,,,,,,,,,,,,0.14,,
